,city,lat,lng,country,capital,population
0,Tokyo,35.6897,139.6922,Japan,primary,37732000.0
1,Jakarta,-6.175,106.8275,Indonesia,primary,33756000.0
2,Delhi,28.61,77.23,India,admin,32226000.0
3,Guangzhou,23.13,113.26,China,admin,26940000.0
4,Mumbai,19.0761,72.8775,India,admin,24973000.0
5,Manila,14.5958,120.9772,Philippines,primary,24922000.0
6,Shanghai,31.1667,121.4667,China,admin,24073000.0
7,São Paulo,-23.55,-46.6333,Brazil,admin,23086000.0
8,Seoul,37.56,126.99,South Korea,primary,23016000.0
9,Mexico City,19.4333,-99.1333,Mexico,primary,21804000.0
10,Cairo,30.0444,31.2358,Egypt,primary,20296000.0
11,New York,40.6943,-73.9249,United States,,18972871.0
12,Dhaka,23.7639,90.3889,Bangladesh,primary,18627000.0
13,Beijing,39.904,116.4075,China,primary,18522000.0
14,Kolkāta,22.5675,88.37,India,admin,18502000.0
15,Bangkok,13.7525,100.4942,Thailand,primary,18007000.0
16,Shenzhen,22.535,114.054,China,minor,17619000.0
17,Moscow,55.7558,37.6178,Russia,primary,17332000.0
18,Buenos Aires,-34.5997,-58.3819,Argentina,primary,16710000.0
19,Lagos,6.455,3.3841,Nigeria,minor,16637000.0
20,Istanbul,41.0136,28.955,Turkey,admin,16079000.0
21,Karachi,24.86,67.01,Pakistan,admin,15738000.0
22,Bangalore,12.9789,77.5917,India,admin,15386000.0
23,Ho Chi Minh City,10.7756,106.7019,Vietnam,admin,15136000.0
24,Ōsaka,34.6939,135.5022,Japan,admin,15126000.0
25,Chengdu,30.66,104.0633,China,admin,14645000.0
26,Tehran,35.6892,51.3889,Iran,primary,14148000.0
27,Kinshasa,-4.325,15.3222,Congo (Kinshasa),primary,12836000.0
28,Rio de Janeiro,-22.9111,-43.2056,Brazil,admin,12592000.0
29,Chennai,13.0825,80.275,India,admin,12395000.0
30,Xi’an,34.2667,108.9,China,admin,12328000.0
31,Lahore,31.5497,74.3436,Pakistan,admin,12306000.0
32,Chongqing,29.55,106.5069,China,admin,12135000.0
33,Los Angeles,34.1141,-118.4068,United States,,12121244.0
34,Baoding,38.8671,115.4845,China,,11860000.0
35,London,51.5072,-0.1275,United Kingdom,primary,11262000.0
36,Paris,48.8567,2.3522,France,primary,11060000.0
37,Linyi,35.1041,118.3502,China,,11018365.0
38,Dongguan,23.0475,113.7493,China,minor,10646000.0
39,Hyderābād,17.385,78.4867,India,admin,10494000.0
40,Tianjin,39.1467,117.2056,China,admin,10368000.0
41,Lima,-12.06,-77.0375,Peru,primary,10320000.0
42,Wuhan,30.5872,114.2881,China,admin,10251000.0
43,Nanyang,32.9987,112.5292,China,,10013600.0
44,Hangzhou,30.25,120.1675,China,admin,9523000.0
45,Foshan,23.0292,113.1056,China,minor,9498863.0
46,Nagoya,35.1833,136.9,Japan,admin,9197000.0
47,Taipei,25.0375,121.5625,Taiwan,primary,9078000.0
48,Tongshan,34.261,117.1859,China,minor,9083790.0
49,Luanda,-8.8383,13.2344,Angola,primary,9051000.0
50,Zhoukou,33.625,114.6418,China,minor,9026015.0
51,Ganzhou,25.8292,114.9336,China,minor,8970014.0
52,Kuala Lumpur,3.1478,101.6953,Malaysia,primary,8911000.0
53,Heze,35.2333,115.4333,China,minor,8795939.0
54,Quanzhou,24.9139,118.5858,China,minor,8782285.0
55,Chicago,41.8375,-87.6866,United States,,8595181.0
56,Nanjing,32.0608,118.7789,China,admin,8422000.0
57,Jining,35.4,116.5667,China,,8357897.0
58,Hanoi,21.0283,105.8542,Vietnam,primary,8246600.0
59,Pune,18.5203,73.8567,India,,8231000.0
60,Fuyang,32.8986,115.8045,China,,8200264.0
61,Ahmedabad,23.03,72.58,India,minor,8009000.0
62,Johannesburg,-26.2044,28.0456,South Africa,admin,8000000.0
63,Bogotá,4.7111,-74.0722,Colombia,primary,7968095.0
64,Dar es Salaam,-6.8161,39.2803,Tanzania,primary,7962000.0
65,Shenyang,41.8025,123.4281,China,admin,7964000.0
66,Khartoum,15.5006,32.56,Sudan,primary,7869000.0
67,Shangqiu,34.4259,115.6467,China,,7816831.0
68,Cangzhou,38.3037,116.8452,China,,7544300.0
69,Hong Kong,22.3,114.2,Hong Kong,primary,7450000.0
70,Shaoyang,27.2418,111.4725,China,,7370500.0
71,Zhanjiang,21.1967,110.4031,China,minor,7332000.0
72,Yancheng,33.3936,120.1339,China,minor,7260240.0
73,Hengyang,26.8968,112.5857,China,,7243400.0
74,Riyadh,24.6333,46.7167,Saudi Arabia,primary,7237000.0
75,Zhumadian,32.9773,114.0253,China,,7231234.0
76,Santiago,-33.4372,-70.6506,Chile,primary,7171000.0
77,Xingtai,37.0659,114.4753,China,,7111106.0
78,Chattogram,22.335,91.8325,Bangladesh,admin,7000000.0
79,Bijie,27.3019,105.2863,China,,6899636.0
80,Shangrao,28.4419,117.9633,China,minor,6810700.0
81,Zunyi,27.705,106.9336,China,,6606675.0
82,Sūrat,21.1702,72.8311,India,,6538000.0
83,Surabaya,-7.2458,112.7378,Indonesia,admin,6499000.0
84,Huanggang,30.45,114.875,China,minor,6333000.0
85,Maoming,21.6618,110.9178,China,minor,6313200.0
86,Nanchong,30.7991,106.0784,China,minor,6278614.0
87,Xinyang,32.1264,114.0672,China,,6234401.0
88,Madrid,40.4169,-3.7033,Spain,primary,6211000.0
89,Baghdad,33.3153,44.3661,Iraq,primary,6183000.0
90,Qujing,25.5102,103.8029,China,,6155400.0
91,Jieyang,23.5533,116.3649,China,minor,6089400.0
92,Singapore,1.3,103.8,Singapore,primary,5983000.0
93,Prayagraj,25.4358,81.8464,India,,5954391.0
94,Liaocheng,36.45,115.9833,China,minor,5952128.0
95,Dalian,38.9,121.6,China,,5871474.0
96,Yulin,22.6293,110.1507,China,minor,5849700.0
97,Changde,29.0397,111.6839,China,minor,5827200.0
98,Qingdao,36.1167,120.4,China,minor,5818255.0
99,Douala,4.05,9.7,Cameroon,admin,5768400.0
100,Miami,25.784,-80.2101,United States,,5711945.0
101,Nangandao,35.2992,113.8851,China,minor,5708191.0
102,Pudong,31.2231,121.5397,China,minor,5681512.0
103,Xiangyang,32.0654,112.1531,China,minor,5680000.0
104,Dallas,32.7935,-96.7667,United States,,5668165.0
105,Houston,29.786,-95.3885,United States,,5650910.0
106,Zhengzhou,34.7492,113.6605,China,admin,5621593.0
107,Lu’an,31.7542,116.5078,China,minor,5611701.0
108,Dezhou,37.4513,116.3105,China,minor,5611194.0
109,Jinan,36.6667,116.9833,China,admin,5606374.0
110,Giza,29.987,31.2118,Egypt,admin,5598402.0
111,Zhaotong,27.3328,103.7144,China,,5591000.0
112,Yichun,27.8041,114.383,China,minor,5573200.0
113,Nairobi,-1.2864,36.8172,Kenya,primary,5545000.0
114,Guadalajara,20.6767,-103.3475,Mexico,admin,5525000.0
115,Philadelphia,40.0077,-75.1339,United States,,5512873.0
116,Ankara,39.93,32.85,Turkey,primary,5503985.0
117,Tai’an,36.2001,117.0809,China,,5494207.0
118,Dazhou,31.2152,107.4947,China,minor,5468097.0
119,Langfang,39.5196,116.7006,China,,5464087.0
120,Yongzhou,26.4515,111.5953,China,,5452100.0
121,Toronto,43.7417,-79.3733,Canada,admin,5429524.0
122,Suihua,46.6384,126.9808,China,minor,5418153.0
123,Saint Petersburg,59.95,30.3167,Russia,admin,5384342.0
124,Qiqihar,47.3398,123.9512,China,minor,5367003.0
125,Suzhou,33.6333,116.9683,China,,5352924.0
126,Monterrey,25.6667,-100.3,Mexico,admin,5341171.0
127,Belo Horizonte,-19.9167,-43.9333,Brazil,admin,5328000.0
128,Weinan,34.4996,109.4684,China,minor,5286077.0
129,Rangoon,16.795,96.16,Myanmar,primary,5209541.0
130,Zhangzhou,24.5093,117.6612,China,minor,5140000.0
131,Yuncheng,35.0304,110.998,China,,5134779.0
132,Xianyang,34.35,108.7167,China,minor,5096001.0
133,Guilin,25.2819,110.2864,China,minor,5085500.0
134,Atlanta,33.7628,-84.422,United States,admin,5046555.0
135,Taizhou,32.4831,119.9,China,minor,5031000.0
136,Kāshān,33.9833,51.4333,Iran,minor,5000000.0
137,Bozhou,33.8626,115.7742,China,,4996844.0
138,Abidjan,5.3167,-4.0333,Côte d'Ivoire,primary,4980000.0
139,Suqian,33.9331,118.2831,China,,4986192.0
140,Huaihua,27.5494,109.9592,China,,4979600.0
141,Ji’an,27.1172,114.9793,China,minor,4956600.0
142,Xiaoganzhan,30.9273,113.911,China,,4921000.0
143,Pingdingshan,33.735,113.2999,China,,4904701.0
144,Jiujiang,29.7048,116.0021,China,minor,4896800.0
145,Alexandria,31.1975,29.8925,Egypt,admin,4870000.0
146,Mianyang,31.4669,104.7385,China,minor,4868243.0
147,Sydney,-33.8678,151.21,Australia,admin,4840600.0
148,Huanglongsi,34.795,114.345,China,,4824016.0
149,Washington,38.9047,-77.0163,United States,primary,4810669.0
150,Barcelona,41.3825,2.1769,Spain,admin,4800000.0
151,Changsha,28.1987,112.9709,China,admin,4766296.0
152,Chenzhou,25.7989,113.0267,China,minor,4744500.0
153,Anqing,30.5,117.0333,China,minor,4723000.0
154,Jiangmen,22.5833,113.0833,China,minor,4630300.0
155,Xinpu,34.5906,119.1801,China,minor,4599360.0
156,Yibin,28.7596,104.64,China,minor,4588804.0
157,Yangzhou,32.3912,119.4363,China,,4559797.0
158,Melbourne,-37.8142,144.9631,Australia,admin,4529500.0
159,Berlin,52.52,13.405,Germany,primary,4473101.0
160,Hengshui,37.7348,115.686,China,,4472000.0
161,Timbío,2.3445,-76.6839,Colombia,minor,4444444.0
162,Kunming,25.0433,102.7061,China,admin,4422686.0
163,Yiyang,28.5833,112.3333,China,,4413800.0
164,Guigang,23.0961,109.6092,China,minor,4409200.0
165,Changchun,43.9,125.2,China,admin,4408154.0
166,Jiangguanchi,34.0244,113.8201,China,minor,4379998.0
167,Casablanca,33.5333,-7.5833,Morocco,admin,4370000.0
168,Meizhou,24.2998,116.1191,China,minor,4378800.0
169,Zhangjiakou,40.8108,114.8811,China,minor,4345485.0
170,Chifeng,42.2663,118.9223,China,minor,4341245.0
171,Ürümqi,43.8225,87.6125,China,admin,4335017.0
172,Suzhou,31.3,120.6194,China,minor,4330000.0
173,İzmir,38.42,27.14,Turkey,admin,4320519.0
174,Linfen,36.0812,111.5087,China,,4316610.0
175,Shantou,23.3735,116.6941,China,minor,4312192.0
176,Kabul,34.5253,69.1783,Afghanistan,primary,4273156.0
177,Mogadishu,2.0392,45.3419,Somalia,primary,4249083.0
178,Luzhou,28.8918,105.4409,China,minor,4218427.0
179,Hefei,31.8639,117.2808,China,admin,4216940.0
180,Boston,42.3188,-71.0852,United States,admin,4208580.0
181,Liuzhou,24.3264,109.4281,China,minor,4157934.0
182,Zhaoqing,23.05,112.4667,China,minor,4151700.0
183,Xiaoxita,30.7083,111.2803,China,minor,4137900.0
184,Shijiazhuang,38.0422,114.5086,China,admin,4098243.0
185,Ningbo,29.875,121.5492,China,minor,4087523.0
186,Fuzhou,27.9814,116.3577,China,,4047200.0
187,Phoenix,33.5722,-112.0892,United States,admin,4047095.0
188,Zhuzhou,27.8407,113.1469,China,minor,4020800.0
189,Amman,31.9497,35.9328,Jordan,primary,4007526.0
190,Chuzhou,32.3062,118.3115,China,,3987054.0
191,Jeddah,21.5433,39.1728,Saudi Arabia,,3976000.0
192,Qingyuan,23.6842,113.0507,China,minor,3969473.0
193,Loudi,27.7378,111.9974,China,,3931800.0
194,Binzhou,37.3806,118.0125,China,,3928568.0
195,Deyang,31.1289,104.395,China,minor,3877000.0
196,Taiyuan,37.8733,112.5425,China,admin,3875053.0
197,Kano,12.0,8.5167,Nigeria,admin,3848885.0
198,Wuhu,31.334,118.3622,China,minor,3842100.0
199,Nanning,22.8192,108.315,China,admin,3837978.0
200,Harbin,45.75,126.6333,China,admin,3830000.0
201,Abuja,9.0667,7.4833,Nigeria,primary,3770000.0
202,Yokohama,35.4442,139.6381,Japan,admin,3757630.0
203,Baojishi,34.3609,107.1751,China,,3738700.0
204,Zaozhuang,34.8667,117.55,China,,3729140.0
205,Xiamen,24.4797,118.0819,China,minor,3707090.0
206,Neijiang,29.5872,105.0635,China,minor,3702847.0
207,Fuzhou,26.0769,119.2917,China,admin,3671192.0
208,Baicheng,23.901,106.6194,China,minor,3669400.0
209,Anshan,41.1066,122.9895,China,,3645884.0
210,Medan,3.5894,98.6739,Indonesia,admin,3632000.0
211,Yulinshi,38.2655,109.7388,China,,3634750.0
212,Wenzhou,27.9991,120.6561,China,,3604446.0
213,Changzhou,31.8122,119.9692,China,minor,3601079.0
214,Puyang,35.7639,115.03,China,minor,3598740.0
215,Jiaozuo,35.229,113.2304,China,,3590700.0
216,Nanchang,28.6842,115.8872,China,admin,3576547.0
217,Ibadan,7.3964,3.9167,Nigeria,admin,3552000.0
218,Hechi,24.6928,108.085,China,minor,3545700.0
219,Detroit,42.3834,-83.1024,United States,,3522856.0
220,Montréal,45.5089,-73.5617,Canada,,3519595.0
221,Busan,35.18,129.075,South Korea,admin,3453198.0
222,Hohhot,40.8151,111.6629,China,admin,3446100.0
223,Seattle,47.6211,-122.3244,United States,,3438221.0
224,Algiers,36.7539,3.0589,Algeria,primary,3415811.0
225,Hanzhong,33.0794,107.026,China,,3416196.0
226,Tangshan,39.6292,118.1742,China,,3399231.0
227,Shiyan,32.6351,110.7755,China,minor,3398000.0
228,Lucknow,26.85,80.95,India,admin,3382000.0
229,Siping,43.1715,124.3644,China,minor,3385156.0
230,Mashhad,36.3,59.6,Iran,admin,3372090.0
231,Boankra,6.6944,-1.4028,Ghana,,3348000.0
232,Changzhi,36.1953,113.097,China,minor,3334565.0
233,Dubai,25.2631,55.2972,United Arab Emirates,admin,3331420.0
234,Qinzhou,21.95,108.6167,China,minor,3304400.0
235,Guiyang,26.5794,106.7078,China,admin,3299724.0
236,Bengbu,32.9354,117.3531,China,,3296408.0
237,San Francisco,37.7558,-122.4449,United States,,3290197.0
238,Bazhou,31.8576,106.7559,China,minor,3283148.0
239,Qincheng,34.5809,105.7311,China,minor,3262549.0
240,Suining,30.5098,105.5737,China,minor,3252619.0
241,Wuxi,31.5667,120.2833,China,minor,3245179.0
242,Leshan,29.5854,103.7575,China,,3235759.0
243,Putian,25.4394,119.0103,China,minor,3210714.0
244,Zhenjiang,32.2109,119.4551,China,minor,3210418.0
245,Faisalabad,31.4167,73.0911,Pakistan,minor,3203846.0
246,Guang’an,30.4673,106.6336,China,minor,3205476.0
247,Tongren,27.7233,109.1885,China,,3168800.0
248,Santa Cruz,-17.7892,-63.1975,Bolivia,admin,3151676.0
249,Qinhuangdao,39.9398,119.5881,China,,3146300.0
250,Tongliao,43.6172,122.264,China,minor,3139153.0
251,Jinzhou,41.1144,121.1292,China,,3126463.0
252,Heyuan,23.7503,114.6923,China,minor,3093900.0
253,San Diego,32.8313,-117.1222,United States,,3084174.0
254,Jaipur,26.9,75.8,India,admin,3073350.0
255,Xinzhou,38.4178,112.7233,China,minor,3067501.0
256,Lanzhou,36.0617,103.8318,China,admin,3067141.0
257,Wuzhou,23.4833,111.3167,China,minor,3061100.0
258,Athens,37.9842,23.7281,Greece,primary,3041131.0
259,Addis Ababa,9.03,38.74,Ethiopia,primary,3041002.0
260,Chaoyang,41.5757,120.4486,China,,3044641.0
261,Brasília,-15.7939,-47.8828,Brazil,primary,3039444.0
262,Taichung,24.1439,120.6794,Taiwan,admin,3033885.0
263,Kuwait City,29.3697,47.9783,Kuwait,primary,3000000.0
264,Budapest,47.4925,19.0514,Hungary,primary,2997958.0
265,Shaoguan,24.8011,113.5927,China,minor,2997600.0
266,Shanwei,22.7664,115.3331,China,minor,2993600.0
267,Quezon City,14.63,121.03,Philippines,admin,2960048.0
268,Rizhao,35.4164,119.4331,China,minor,2968365.0
269,Kyiv,50.45,30.5233,Ukraine,primary,2963199.0
270,Sanaa,15.3483,44.2064,Yemen,primary,2957000.0
271,Meishan,30.0575,103.8381,China,,2950545.0
272,Incheon,37.4833,126.6333,South Korea,admin,2936117.0
273,Guatemala City,14.6099,-90.5252,Guatemala,primary,2934841.0
274,Birmingham,52.48,-1.9025,United Kingdom,,2919600.0
275,Zhongshan,22.5333,113.35,China,minor,2909633.0
276,Ningde,26.6617,119.5228,China,minor,2910000.0
277,Weihai,37.5,122.1,China,minor,2906548.0
278,Daqing,46.5979,125.008,China,minor,2904532.0
279,Bursa,40.1833,29.05,Turkey,admin,2901396.0
280,Salvador,-12.9747,-38.4767,Brazil,admin,2886698.0
281,Rome,41.8931,12.4828,Italy,primary,2872800.0
282,Haikou,20.02,110.32,China,admin,2873358.0
283,La Paz,-16.5,-68.15,Bolivia,primary,2867504.0
284,Xiangtan,27.8431,112.9228,China,,2864800.0
285,Pyongyang,39.0194,125.7381,North Korea,primary,2863000.0
286,Minneapolis,44.9635,-93.2678,United States,,2856952.0
287,Omdurman,15.65,32.4833,Sudan,,2805396.0
288,Malang,-7.98,112.62,Indonesia,,2795209.0
289,Mudanjiang,44.5861,129.5997,China,minor,2798723.0
290,Stuttgart,48.7775,9.18,Germany,admin,2787724.0
291,Brooklyn,40.6501,-73.9496,United States,,2736074.0
292,Kaohsiung,22.615,120.2975,Taiwan,admin,2733566.0
293,Guayaquil,-2.19,-79.8875,Ecuador,admin,2723665.0
294,Lisbon,38.7253,-9.15,Portugal,primary,2719000.0
295,Longyan,25.0881,117.0244,China,minor,2723637.0
296,Tieling,42.2841,123.8365,China,,2717732.0
297,Manchester,53.4794,-2.2453,United Kingdom,,2705000.0
298,Baotou,40.6562,109.8345,China,,2709378.0
299,Handan,36.6116,114.4894,China,minor,2708015.0
300,Cawnpore,26.4499,80.3319,India,,2701324.0
301,Dingxi,35.5806,104.6263,China,minor,2698624.0
302,Nanping,26.6448,118.1728,China,minor,2690000.0
303,Tampa,27.9945,-82.4447,United States,,2683956.0
304,Zigong,29.3498,104.7645,China,,2678899.0
305,Maracaibo,10.6333,-71.6333,Venezuela,admin,2658355.0
306,Chaozhou,23.67,116.63,China,minor,2656600.0
307,Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),admin,2643000.0
308,Denver,39.762,-104.8758,United States,admin,2650725.0
309,Gulou,26.0865,119.298,China,minor,2606000.0
310,Weifang,36.7167,119.1,China,,2636154.0
311,Huai’an,33.5058,119.1392,China,,2632788.0
312,Zibo,36.7831,118.0497,China,,2631647.0
313,Ankang,32.6877,109.0235,China,,2629906.0
314,Baoshan,25.1211,99.169,China,,2627000.0
315,Antananarivo,-18.9333,47.5167,Madagascar,primary,2610000.0
316,Huludao,40.7094,120.8378,China,minor,2623541.0
317,Munich,48.1375,11.575,Germany,admin,2606021.0
318,Yanjiang,30.1256,104.6397,China,minor,2593843.0
319,Santo Domingo,18.4764,-69.8933,Dominican Republic,primary,2581827.0
320,Sanming,26.2658,117.6302,China,minor,2580000.0
321,Tashkent,41.3111,69.2797,Uzbekistan,primary,2571668.0
322,Longba,33.535,105.349,China,,2567718.0
323,Yangjiang,21.8556,111.9627,China,minor,2555600.0
324,Jiamusi,46.8081,130.3653,China,minor,2552097.0
325,Luohe,33.583,114.0109,China,minor,2544266.0
326,Lincang,23.8864,100.0871,China,,2536000.0
327,Medellín,6.2308,-75.5906,Colombia,admin,2529403.0
328,Xuanzhou,30.9475,118.7518,China,,2532938.0
